Class,Precision,Recall,F1,Support
R,1.000±0.000,1.000±0.000,1.000±0.000,40
X,0.935±0.015,0.946±0.024,0.940±0.005,940
Y,0.882±0.045,0.856±0.039,0.867±0.004,430
Z,1.000±0.000,1.000±0.000,1.000±0.000,40
