t_console,stat,line,posx,posy,posz,mpox,mpoy,mpoz,vel,feed,unit,dist,plane,coor,momo,raw_json,spindle,x_motor,y_motor,z_motor,spindle_A,x_motor_A,y_motor_A,z_motor_A,frame_l3.Ax,frame_l3.Ay,frame_l3.Az,frame_l3.Gx,frame_l3.Gy,frame_l3.Gz,frame_l3.Mx,frame_l3.My,frame_l3.Mz,frame_l3.Pressure,frame_l3.Temperature,frame_l3.Proximity,frame_l3.ColorR,frame_l3.ColorG,frame_l3.ColorB,frame_l3.ColorA,frame_l3.RMS,y_bed__4.Ax,y_bed__4.Ay,y_bed__4.Az,y_bed__4.Gx,y_bed__4.Gy,y_bed__4.Gz,y_bed__4.Mx,y_bed__4.My,y_bed__4.Mz,y_bed__4.Pressure,y_bed__4.Temperature,y_bed__4.Proximity,y_bed__4.ColorR,y_bed__4.ColorG,y_bed__4.ColorB,y_bed__4.ColorA,y_bed__4.RMS,frame_l2.Ax,frame_l2.Ay,frame_l2.Az,frame_l2.Gx,frame_l2.Gy,frame_l2.Gz,frame_l2.Mx,frame_l2.My,frame_l2.Mz,frame_l2.Pressure,frame_l2.Temperature,frame_l2.Proximity,frame_l2.ColorR,frame_l2.ColorG,frame_l2.ColorB,frame_l2.ColorA,frame_l2.RMS,frame_r2.Ax,frame_r2.Ay,frame_r2.Az,frame_r2.Gx,frame_r2.Gy,frame_r2.Gz,frame_r2.Mx,frame_r2.My,frame_r2.Mz,frame_r2.Pressure,frame_r2.Temperature,frame_r2.Proximity,frame_r2.ColorR,frame_r2.ColorG,frame_r2.ColorB,frame_r2.ColorA,frame_r2.RMS,spindle2.Ax,spindle2.Ay,spindle2.Az,spindle2.Gx,spindle2.Gy,spindle2.Gz,spindle2.Mx,spindle2.My,spindle2.Mz,spindle2.Pressure,spindle2.Temperature,spindle2.Proximity,spindle2.ColorR,spindle2.ColorG,spindle2.ColorB,spindle2.ColorA,spindle2.RMS,y_bed__3.Ax,y_bed__3.Ay,y_bed__3.Az,y_bed__3.Gx,y_bed__3.Gy,y_bed__3.Gz,y_bed__3.Mx,y_bed__3.My,y_bed__3.Mz,y_bed__3.Pressure,y_bed__3.Temperature,y_bed__3.Proximity,y_bed__3.ColorR,y_bed__3.ColorG,y_bed__3.ColorB,y_bed__3.ColorA,y_bed__3.RMS,gcode_line,gcode_string
14:45:33.930,5,26,3.2985,0.0427,0.0027,131.34303,17.96982,-25.92392,,558.8,0,0,,2,1,"{""sr"":{""mpox"":131.34303,""mpoy"":17.96982,""mpoz"":-25.92392,""mpoa"":0,""posx"":3.2985,""posy"":0.0427,""posz"":0.0027,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":1,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":26,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":0,""hold"":0,""macs"":5,""cycs"":1,""sps"":0,""feed"":558.8,""mark"":1202360313}}",5.210890196321998,0.198641309980303,0.1553517240972723,0.1836923882365226,5.210890196321998,0.198641309980303,0.1553517240972723,0.1836923882365226,-1.006,-0.01,-0.014,0.305,1.77,4.517,10.0,-16.0,27.0,99.8,30.66,0.0,0.0,0.0,0.0,0.0,2106.0,-1.01,0.121,-0.026,2.869,1.709,4.639,-24.0,35.0,31.0,99.8,31.32,0.0,0.0,0.0,0.0,0.0,2251.0,-0.993,0.039,-0.028,-1.404,-0.793,0.854,-32.0,33.0,-32.0,99.8,31.01,0.0,0.0,0.0,0.0,0.0,2276.0,-1.005,-0.08,0.011,5.188,1.526,2.014,-6.0,16.0,-93.0,99.8,30.91,0.0,0.0,0.0,0.0,0.0,3095.0,-1.031,-0.069,-0.022,2.319,1.282,1.77,11.0,-27.0,40.0,99.7,39.62,0.0,0.0,0.0,0.0,0.0,3104.0,-0.997,-0.03,-0.003,-4.517,-8.667,-0.183,5.0,28.0,42.0,99.8,30.83,0.0,0.0,0.0,0.0,0.0,2713.0,26,X3.2985 Z0.0027
14:45:34.187,5,36,3.275,0.3746,0.0,130.74612,26.40008,-25.9925,,558.8,0,0,,2,3,"{""sr"":{""mpox"":130.74612,""mpoy"":26.40008,""mpoz"":-25.9925,""mpoa"":0,""posx"":3.275,""posy"":0.3746,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":3,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":36,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":0,""hold"":0,""macs"":5,""cycs"":1,""sps"":0,""feed"":558.8,""mark"":1202360313}}",5.042150278512912,0.2023037288068669,0.1907983677953999,0.2050923902729879,5.042150278512912,0.2023037288068669,0.1907983677953999,0.2050923902729879,-1.00563464,-0.01063464,-0.0179038199999999,0.26628094,1.79351796,4.45129484,10.0,-16.0,27.53856374,99.8,30.7,80.06913466000002,44.75371874000001,40.27445506000001,46.48382510000001,128.03232680000002,1136.16908272,-1.00853474,0.1214700599999999,-0.028,2.689948,1.4971072399999998,4.17494476,-24.53035642,35.0,31.9352794,99.70647206,31.34064722,114.7511646,2.12142626,1.59106912,1.52634852,4.2428518,1195.14120594,-0.992,0.03993602,-0.02893602,-1.38325898,-0.7683569,0.8791138,-32.0,33.9360109,-31.59597458,99.8,31.04531988,89.24565966,44.28281058,43.21883934,42.09087842,131.52850424,1158.71533018,-1.00457272,-0.0784831399999999,0.00742728,5.03935132,1.77060652,1.92695784,-6.0,15.05586686,-94.05586686,99.8,30.940558600000003,137.84567006,13.75375284,17.192190619999998,13.75375284,38.9689659,1341.35387352,-1.03172336,-0.06853414,-0.02698702,2.2520256,1.3647786400000002,1.12144928,11.42336062,-27.0,41.0,99.79446608,39.65423326,90.53232728,47.9163789,49.0143176,44.4565442,119.99625664,906.53363906,-0.996,-0.031,-0.00451186,-4.56744326,-7.49812296,0.4189846,4.46026486,27.94806826,42.0,99.8,30.87539736,96.89800653999998,5.32500264,4.14166888,4.73333576,12.42500664,1344.32605006,36,X3.275 Y0.3746 R0.083
14:45:34.493,5,42,3.275,0.7064,0.0,130.74612,34.8278,-25.9925,,558.8,0,0,,2,3,"{""sr"":{""mpox"":130.74612,""mpoy"":34.8278,""mpoz"":-25.9925,""mpoa"":0,""posx"":3.275,""posy"":0.7064,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":3,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":42,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":558.8,""mark"":1202360313}}",5.339402310614251,0.1997836871379339,0.2066319340039754,0.2144098093058688,5.339402310614251,0.1997836871379339,0.2066319340039754,0.2144098093058688,-1.005,-0.01082138,-0.01541114,0.3440804199999998,1.7373146200000005,4.41540566,9.23155562,-16.0,27.82139092,99.8,30.7217862,87.82827037999988,50.86046803999992,45.52832171999993,52.50112783999992,144.55671149999978,463.45114838000006,-1.00908712,0.1211196,-0.024,2.72082634,1.6134995000000003,4.177204379999999,-24.0,35.0,30.60338072,99.8,31.35755466,113.21126294000004,2.0649108800000007,1.5486832800000003,1.0324552000000002,4.129821020000001,463.03329474,-0.99159448,0.03940552,-0.02669352,-1.2640588599999998,-0.8033762800000002,0.91833472,-32.1176474,33.1176474,-31.47695396,99.8,31.06,55.75456567999997,43.12506032000001,42.48436714000001,41.320627920000014,128.78694422000004,356.12733969999994,-1.00435004,-0.07923656,0.01094716,5.03956012,1.8415677,1.92534736,-5.54667988,15.45332012,-94.0,99.8,30.95650004,122.27521308000006,13.667001960000007,16.40040210000001,13.667001960000007,38.26760548000002,477.1794259399999,-1.03030096,-0.06980018,-0.02290132,2.24888678,1.3454930200000004,1.13236412,11.0,-27.0,40.89634868,99.8,39.66103638,86.25436928000006,46.04761790000003,46.698225380000025,42.85248862000003,114.72147850000007,549.4155622999999,-0.99646324,-0.03043978,-0.00236626,-4.75474652,-7.63359328,0.34508094,4.0,28.0,42.09696128,99.8,30.8956012,93.65584238000008,5.504069320000005,3.9207217600000033,4.480824620000004,11.762164800000008,576.53757572,42,X3.275 Y0.7064 R0.083
14:45:35.007,5,42,3.275,0.7064,0.0,130.74612,34.8278,-25.9925,,558.8,0,0,,2,3,"{""sr"":{""mpox"":130.74612,""mpoy"":34.8278,""mpoz"":-25.9925,""mpoa"":0,""posx"":3.275,""posy"":0.7064,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":3,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":42,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":558.8,""mark"":1202360313}}",5.3374479398920815,0.198599152433897,0.198383035132936,0.2050373850425662,5.3374479398920815,0.198599152433897,0.198383035132936,0.2050373850425662,-1.0068569399999998,-0.00985694,-0.01014306,0.2178641199999997,1.7351730800000005,4.56927564,5.143080059999992,-8.228927819999987,13.286765799999982,99.8,30.74,105.7712451399998,63.77418955999989,57.088186119999904,65.83142185999989,181.0364094799997,408.5546142400001,-1.00975584,0.121,-0.021,2.73184852,1.75484852,4.11962322,-24.75040822,35.0,31.24838574,99.72495934,31.37997164,108.55910118000004,1.9919100000000003,1.4939324800000005,0.9959555000000004,3.983820000000001,444.54480654,-0.992,0.0402451599999999,-0.022,-1.40431156,-0.7933115599999999,0.94681832,-33.0,33.74793426,-31.99331512,99.8,31.09,88.53013633999996,41.03599384000002,40.29316592000002,39.298273260000016,122.37183848000004,392.3182127,-1.004,-0.0772149199999999,0.01045046,4.91663486,2.0343297799999998,1.9697854,-5.275170160000001,15.49014146,-93.27517016,99.8,30.98,119.43113660000012,12.25353026000001,14.704237020000011,12.25353026000001,34.30988556000003,500.94051254,-1.03308134,-0.06827876,-0.01827876,2.30599248,1.3710000999999996,1.1199846400000002,11.0,-26.0,41.21324222,99.8,39.68,76.79664558000007,39.34936544000004,40.82496684000004,37.87376404000003,98.86528112000008,394.52031804,-0.99671066,-0.0304913,0.0017106599999999,-4.88451414,-7.74400902,0.3145796400000003,4.0,28.0,43.0,99.8,30.91219552,84.5417245200001,4.420548180000005,3.438204380000004,3.929376280000005,10.314612600000013,568.8749625799999,42,X3.275 Y0.7064 R0.083
14:45:35.521,5,42,3.275,0.7064,0.0,130.74612,34.8278,-25.9925,,558.8,0,0,,2,3,"{""sr"":{""mpox"":130.74612,""mpoy"":34.8278,""mpoz"":-25.9925,""mpoa"":0,""posx"":3.275,""posy"":0.7064,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":3,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":42,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":558.8,""mark"":1202360313}}",5.164782453948587,0.1995019444226718,0.1873806059124218,0.196122728917373,5.164782453948587,0.1995019444226718,0.1873806059124218,0.196122728917373,-1.00605652,-0.01,-0.00861986,0.4166647599999998,1.77508588,4.40641258,9.436426300000004,-16.5635737,27.816375980000004,99.8,30.76507102,140.29250453999975,76.8297911599999,68.82561079999991,79.3664700599999,218.20131567999968,340.2607189600001,-1.00914584,0.12090352,-0.01790352,2.72088212,1.5318872600000002,4.2075491,-24.0,35.0,31.475331800000003,99.8,31.4037884,102.67161246000003,1.9013263800000009,1.4259945800000005,0.9506627800000004,3.802652120000001,424.0031151,-0.99184284,0.04,-0.01852944,-1.4171385199999995,-0.7021282600000002,0.93619798,-32.47066748,33.098304660000004,-30.94133414,99.8,31.11372362,105.59030764000006,39.065370680000015,38.12403654000002,37.18270240000002,116.25477772000004,323.24393137999994,-1.0043312800000002,-0.07889128,0.0196847599999999,4.90290692,1.6758979200000002,1.96725012,-5.668727380000001,15.668727380000002,-94.22867338,99.8,30.96440054,111.66981082000012,10.670072280000012,13.201614080000017,11.001344900000012,30.80376570000003,360.52661216,-1.02954558,-0.06921482,-0.01446128,2.258,1.1142722800000004,1.099,11.56683988,-27.0,40.86632042,99.73240312,39.69324064,67.35807222000007,35.08597148000004,36.38545202000004,33.35333064000004,88.68870418000009,391.814163,-0.996,-0.03030668,0.00411322,-4.88218186,-7.7378634,0.3611224399999998,4.0,28.5800804,42.77351752,99.8,30.93080204,71.7591008800001,4.085954760000004,2.939437200000004,3.3593568000000045,8.818311780000013,501.57713952,42,X3.275 Y0.7064 R0.083
14:45:36.035,5,42,3.275,0.7064,0.0,130.74612,34.8278,-25.9925,,558.8,0,0,,2,3,"{""sr"":{""mpox"":130.74612,""mpoy"":34.8278,""mpoz"":-25.9925,""mpoa"":0,""posx"":3.275,""posy"":0.7064,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":3,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":42,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":558.8,""mark"":1202360313}}",5.159792194255632,0.1996834787868502,0.1989320024124401,0.2055038628330509,5.159792194255632,0.1996834787868502,0.1989320024124401,0.2055038628330509,-1.0057183,-0.0093504,-0.0068626,0.2201101999999996,1.8096161,4.5566161,9.2818494,-16.0,28.7181506,99.8,30.7735059,142.22777030000017,79.88135080000008,72.08804800000007,82.47911780000008,227.30465600000025,352.0903287,-1.009,0.1219537,-0.0169537,2.8375488,1.5546255,4.1528257,-24.0,34.5307269,31.5307269,99.753073,31.4057703,101.36308909999995,1.8770942999999995,1.4078202999999996,0.9385470999999996,3.754188599999999,426.3761598000001,-0.9915395,0.0409093,-0.0174605,-1.3148943,-0.7882113,0.923095,-32.9546273,33.0453727,-32.0331263,99.8,31.1353929,100.90439709999995,37.781554499999984,37.32080399999999,36.39930299999999,112.88391389999995,329.8448135000001,-1.004,-0.0770401,0.0150822999999999,5.1551176,1.8943177,1.8640118,-5.0,16.0,-94.959884,99.8,30.9908023,102.68272129999993,10.52077089999999,12.624924699999989,10.52077089999999,29.45815789999997,352.6706939,-1.0313761,-0.0695842,-0.0124554999999999,2.2990572,1.8163119000000008,1.2342518000000002,11.4158317,-26.4158317,41.5047345,99.8,39.7103972,64.03811199999994,34.92987909999997,35.76154339999997,32.434888099999974,86.90886609999993,371.09192,-0.9960375,-0.0310375,0.0064365999999999,-4.660219099999999,-7.5779976,0.3416419,4.0,28.0,43.0,99.8,30.93,66.28600549999993,3.993133099999996,2.7951930999999965,3.1945060999999964,8.385579299999991,491.1702121000001,42,X3.275 Y0.7064 R0.083
14:45:36.550,5,42,3.275,0.7064,0.0,130.74612,34.8278,-25.9925,,558.8,0,0,,2,3,"{""sr"":{""mpox"":130.74612,""mpoy"":34.8278,""mpoz"":-25.9925,""mpoa"":0,""posx"":3.275,""posy"":0.7064,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":3,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":42,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":558.8,""mark"":1202360313}}",5.250057989849515,0.2041627381617163,0.2037374445927779,0.2159392571570057,5.250057989849515,0.2041627381617163,0.2037374445927779,0.2159392571570057,-1.0053546,-0.0101859999999999,-0.004814,0.366,1.818603,4.627171,9.725912,-16.5400824,28.5400824,99.8,30.7981418,115.03760039999987,66.43016359999991,59.94917199999993,68.59049399999992,189.02892079999975,435.2073483999999,-1.009,0.1223088,-0.016,2.713118,1.6263624,4.10981,-24.5067854,35.3226434,31.8614986,99.8,31.4218416,107.02759200000004,1.9728586000000008,1.4796442000000003,0.9864296000000002,3.945717800000001,468.5886874,-0.9913276,0.0404908,-0.016,-1.4527858,-0.7829786000000001,0.8563744000000002,-33.0,33.5092512,-31.8182672,99.8,31.1518172,72.14007900000001,40.73215380000001,39.75065580000001,38.769158400000016,121.21496340000004,350.48259199999995,-1.0031994,-0.077842,0.0211291999999999,5.11782,1.7001361999999995,1.9608916,-3.344734200000006,10.039395600000017,-59.5938428000001,99.8,31.0,119.82569960000008,11.98256980000001,14.858387000000011,11.98256980000001,33.55119560000003,400.232439,-1.0315816,-0.0684292,-0.01052,2.1375482000000003,1.4601159999999993,1.1883867999999995,11.0,-27.0,41.1563944,99.8,39.7063634,75.35376820000006,40.796626200000034,41.75654640000003,37.43690400000003,101.27162440000008,368.6607665999999,-0.9963232,-0.03,0.0075263999999999,-5.0702716,-7.838623,0.3811846000000001,4.0,28.0,42.098321600000006,99.8,30.93,81.97777680000007,4.7385994000000045,3.790879800000004,3.790879800000004,9.95105960000001,512.1566627999999,42,X3.275 Y0.7064 R0.083
14:45:37.064,5,42,3.275,0.7064,0.0,130.74612,34.8278,-25.9925,,558.8,0,0,,2,3,"{""sr"":{""mpox"":130.74612,""mpoy"":34.8278,""mpoz"":-25.9925,""mpoa"":0,""posx"":3.275,""posy"":0.7064,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":3,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":42,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":558.8,""mark"":1202360313}}",5.424061486134394,0.2033171357998614,0.2076177656823035,0.2076251301499129,5.424061486134394,0.2033171357998614,0.2076177656823035,0.2076251301499129,-1.006,-0.00989984,-0.0047993599999999,0.4086438399999999,1.75214904,4.56807676,9.43087736,-16.0,29.0,99.8,30.8189968,92.20768512000012,52.99787532000006,47.39647364000006,54.72138344000007,151.2378391600002,375.27033892,-1.00948564,0.1218278399999999,-0.0146262799999999,2.81849504,1.55928448,4.20050496,-24.0,35.0,31.0,99.7172048,31.42827968,112.7306614,2.0590071199999995,1.5442556799999996,1.0295035599999998,4.118015239999999,407.90234308,-0.99168992,0.04020508,-0.01420508,-1.31534128,-0.75282436,0.85259032,-32.48447444,33.48447444,-32.6206666,99.8,31.17484496,108.26042023999996,42.78864231999999,41.75759052,40.72653871999999,127.33487483999996,317.56862615999995,-1.0045426400000002,-0.078,0.01945948,5.15012972,1.65291396,1.953,-5.271415879999999,16.35196844,-94.81169216,99.8,31.03,119.94137387999994,13.506911719999993,16.74857039999999,13.506911719999993,37.81935171999998,360.55380436,-1.03127516,-0.06892264,-0.0095360799999999,2.312763840000001,1.3403907200000005,1.13170464,11.27048496,-26.72951504,42.0,99.8,39.70729496,83.63774427999995,46.10798679999997,46.64412615999998,42.35501151999998,113.66154919999994,386.3163696799999,-0.99554612,-0.02990744,0.00945388,-4.86097848,-7.8798456,0.3572522000000001,4.201460480000001,28.0,42.79853952,99.8,30.95798528,94.51541251999993,5.463318319999996,4.370655119999997,4.370655119999997,11.472969239999992,479.30435327999993,42,X3.275 Y0.7064 R0.083
14:45:37.770,5,16,4.38668,-0.55492,1.02333,158.98269,2.79034,0.0,,0.0,0,0,,2,0,"{""sr"":{""mpox"":158.98269,""mpoy"":2.79034,""mpoz"":0,""mpoa"":0,""posx"":4.38668,""posy"":-0.55492,""posz"":1.02333,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":0,""dist"":0,""home"":1,""mots"":1,""plan"":0,""line"":16,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":0,""mark"":1202360313}}",5.369629913749934,0.2020380527178901,0.2141090975176128,0.2110543921752898,5.369629913749934,0.2020380527178901,0.2141090975176128,0.2110543921752898,-1.005,-0.0094536,-0.0039371999999999,0.3936608000000001,1.7566610000000005,4.6113392,10.0,-16.0,29.0,99.8,30.85,67.58488160000023,48.44234300000016,43.36371060000014,50.00499980000017,137.90441240000047,440.6529552,-1.0088924,0.1219566,-0.0146288,2.6951836,1.546005,4.229694599999999,-24.0,35.52151,31.6290328,99.7107522,31.4373656,113.68921319999994,2.086040599999999,1.5645305999999992,1.0430205999999995,4.172081199999998,451.32853959999983,-0.9916352,0.0405264,-0.0134736,-1.3306198000000002,-0.8407147999999998,0.8806792000000004,-33.0,33.4735802,-32.8911054,99.8,31.1936472,55.80046619999997,43.69281759999998,43.16639859999997,41.58714019999997,130.02561399999993,366.56072239999975,-1.0043152,-0.077,0.0198795999999999,4.824335200000001,1.9314191999999992,1.8993484,-5.564039999999999,16.0,-94.1204656,99.8,31.0175142,139.3179549999998,14.101007199999982,17.485249599999978,14.101007199999982,40.046861799999945,393.17152659999977,-1.03382,-0.0679296,-0.0083127999999999,2.3647288000000004,1.6217352000000005,1.057068,12.0,-26.8787746,41.312588,99.8,39.7387878,87.75893499999988,48.69205419999994,49.82442719999993,44.72874759999994,121.16394839999984,425.78133259999976,-0.9961256,-0.030704,0.009704,-4.903830599999999,-7.7504462,0.4975265999999999,4.703668800000001,27.8744142,42.0,99.8,30.9704514,94.22757019999985,5.780832399999991,4.046582599999994,4.624665599999993,12.13974799999998,570.9141829999995,16,G0 X3.3121 Y0.0427
14:45:38.027,5,16,3.87879,-0.27246,1.02333,146.0823,9.96478,0.0,,0.0,0,0,,2,0,"{""sr"":{""mpox"":146.0823,""mpoy"":9.96478,""mpoz"":0,""mpoa"":0,""posx"":3.87879,""posy"":-0.27246,""posz"":1.02333,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":0,""dist"":0,""home"":1,""mots"":1,""plan"":0,""line"":16,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":0,""mark"":1202360313}}",5.49784079877968,0.2038017781950764,0.2004989049375494,0.1992118354811779,5.49784079877968,0.2038017781950764,0.2004989049375494,0.1992118354811779,-1.0053514,-0.0093326199999999,-0.00366738,0.2688960799999985,1.729401820000002,4.536216940000001,9.64813564000001,-16.0,28.0,99.8,30.86314358,123.75021436000095,82.69464842000072,74.02504828000065,85.36221768000074,234.74609984000205,386.20316482,-1.00856572,0.12183734,-0.0135657199999999,2.7450374,1.611544460000001,4.121394919999999,-24.53328916,35.0,31.03217421999999,99.8,31.4593565,100.84163487999976,1.8668414799999955,1.4001315799999967,0.9655949599999896,3.733683899999991,434.9478300400003,-0.99192144,0.04046022,-0.0126048199999999,-1.412540620000002,-0.854,0.8942456199999997,-33.0,34.0,-33.11145617999999,99.8,31.21967462,51.688184580000055,38.28994101999987,37.79686235999988,36.41524081999989,113.81859169999966,326.2847163200004,-1.00362682,-0.07740894,0.0217341599999999,5.0755069200000005,1.9304007200000028,2.0250863200000007,-5.0,15.409131999999998,-94.33758896000002,99.8,31.02964228,101.76643901999928,10.228288239999925,12.683077359999906,10.228288239999925,29.048339719999785,364.29211636000014,-1.03181632,-0.06918368,-0.00899606,2.23310586,1.3091136599999993,1.261544779999999,11.371719240000006,-27.0,41.66466571999999,99.8,39.74963616,64.4077212399995,35.50507999999972,35.91318507999972,32.240245579999744,88.11415917999932,382.0045801600001,-0.99638918,-0.03022164,0.01,-5.010332080000005,-7.771059399999997,0.4583971200000036,4.0,28.0,42.6109722,99.8,30.97,69.22206755999942,3.8902739399999615,3.0745983799999785,3.1122193399999687,8.169574739999918,492.5193198600003,16,G0 X3.3121 Y0.0427
