t_console,stat,line,posx,posy,posz,mpox,mpoy,mpoz,vel,feed,unit,dist,plane,coor,momo,raw_json,spindle,x_motor,y_motor,z_motor,spindle_A,x_motor_A,y_motor_A,z_motor_A,frame_r2.Ax,frame_r2.Ay,frame_r2.Az,frame_r2.Gx,frame_r2.Gy,frame_r2.Gz,frame_r2.Mx,frame_r2.My,frame_r2.Mz,frame_r2.Pressure,frame_r2.Temperature,frame_r2.Proximity,frame_r2.ColorR,frame_r2.ColorG,frame_r2.ColorB,frame_r2.ColorA,frame_r2.RMS,y_bed__4.Ax,y_bed__4.Ay,y_bed__4.Az,y_bed__4.Gx,y_bed__4.Gy,y_bed__4.Gz,y_bed__4.Mx,y_bed__4.My,y_bed__4.Mz,y_bed__4.Pressure,y_bed__4.Temperature,y_bed__4.Proximity,y_bed__4.ColorR,y_bed__4.ColorG,y_bed__4.ColorB,y_bed__4.ColorA,y_bed__4.RMS,y_bed__3.Ax,y_bed__3.Ay,y_bed__3.Az,y_bed__3.Gx,y_bed__3.Gy,y_bed__3.Gz,y_bed__3.Mx,y_bed__3.My,y_bed__3.Mz,y_bed__3.Pressure,y_bed__3.Temperature,y_bed__3.Proximity,y_bed__3.ColorR,y_bed__3.ColorG,y_bed__3.ColorB,y_bed__3.ColorA,y_bed__3.RMS,frame_l3.Ax,frame_l3.Ay,frame_l3.Az,frame_l3.Gx,frame_l3.Gy,frame_l3.Gz,frame_l3.Mx,frame_l3.My,frame_l3.Mz,frame_l3.Pressure,frame_l3.Temperature,frame_l3.Proximity,frame_l3.ColorR,frame_l3.ColorG,frame_l3.ColorB,frame_l3.ColorA,frame_l3.RMS,frame_l2.Ax,frame_l2.Ay,frame_l2.Az,frame_l2.Gx,frame_l2.Gy,frame_l2.Gz,frame_l2.Mx,frame_l2.My,frame_l2.Mz,frame_l2.Pressure,frame_l2.Temperature,frame_l2.Proximity,frame_l2.ColorR,frame_l2.ColorG,frame_l2.ColorB,frame_l2.ColorA,frame_l2.RMS,spindle2.Ax,spindle2.Ay,spindle2.Az,spindle2.Gx,spindle2.Gy,spindle2.Gz,spindle2.Mx,spindle2.My,spindle2.Mz,spindle2.Pressure,spindle2.Temperature,spindle2.Proximity,spindle2.ColorR,spindle2.ColorG,spindle2.ColorB,spindle2.ColorA,spindle2.RMS,gcode_line,gcode_string
16:01:28.854,5,21,3.5713,0.0249,0.0173,134.81658,14.19825,-41.76058,,1016.0,0,0,,2,1,"{""sr"":{""mpox"":134.81658,""mpoy"":14.19825,""mpoz"":-41.76058,""mpoa"":0,""posx"":3.5713,""posy"":0.0249,""posz"":0.0173,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":1,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":21,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":0,""hold"":0,""macs"":5,""cycs"":1,""sps"":0,""feed"":1016,""mark"":2134550910}}",5.260719935467932,0.1961498230230063,0.198641309980303,0.2017556686769239,5.260719935467932,0.1961498230230063,0.198641309980303,0.2017556686769239,-1.007,-0.075,0.028,5.432,1.953,1.953,-2.0,17.0,-97.0,101.3,31.86,0.0,0.0,0.0,0.0,0.0,296.0,-1.009,0.123,-0.012,2.93,1.709,3.784,-8.0,30.0,46.0,101.2,32.89,0.0,22.0,16.0,15.0,49.0,251.0,-1.0,-0.027,0.013,-4.517,-7.08,1.16,-1.0,27.0,68.0,101.2,32.58,0.0,20.0,16.0,17.0,47.0,365.0,-1.004,-0.01,-0.003,0.61,1.709,4.761,10.0,-13.0,21.0,101.3,32.35,206.0,503.0,491.0,526.0,1023.0,309.0,-0.99,0.039,-0.008,-1.526,-0.916,1.038,-30.0,40.0,-52.0,101.3,33.24,0.0,0.0,0.0,0.0,0.0,296.0,-1.035,-0.069,-0.004,2.441,1.587,0.977,7.0,1.0,-11.0,101.2,41.43,0.0,92.0,68.0,60.0,211.0,285.0,21,X3.5713 Z0.0173
16:01:29.121,5,35,3.6096,0.2475,0.0,135.78939,19.85229,-42.2,,1016.0,0,0,,2,3,"{""sr"":{""mpox"":135.78939,""mpoy"":19.85229,""mpoz"":-42.2,""mpoa"":0,""posx"":3.6096,""posy"":0.2475,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":3,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":35,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":0,""hold"":0,""macs"":5,""cycs"":1,""sps"":0,""feed"":1016,""mark"":2134550910}}",5.13472614971988,0.2004813104754023,0.1933149593912312,0.1954680587969642,5.13472614971988,0.2004813104754023,0.1933149593912312,0.1954680587969642,-1.006,-0.07567664,0.0266806,5.0209831,2.1191365600000003,1.95203584,-2.0,17.0,-97.65817428,101.3,31.85679516,0.0,38.25423139999997,34.296896799999985,29.68000719999998,95.63557749999994,258.29428679999995,-1.00742976,0.12324486,-0.01254026,2.76010428,1.648,3.92274092,-8.21482322,30.0,44.48926658,101.2,32.883256800000005,0.0,10.108040520000005,7.351302460000001,6.891845960000002,22.513363240000004,275.53538224000005,-0.9995275,-0.027,0.014,-4.521409599999999,-7.11017888,1.09045682,-0.8599492399999998,27.0,67.38742132,101.2,32.57472534,0.0,10.549446239999998,8.43955692,8.967028999999998,24.79119902,245.71283086000005,-1.004,-0.01172868,-0.00260202,0.43111104,1.89615912,4.7936036,9.0,-12.86442228,20.0,101.3,32.34,108.65487679999998,267.91630862,262.04563263999995,280.72505651999995,545.9728756399999,248.89473306,-0.99044968,0.03956902,-0.00811934,-1.53444288,-0.8332204599999999,1.07999948,-30.430797180000003,40.0,-52.238629,101.3,33.23,78.28054380000002,130.01768502000004,125.96869080000003,131.81723764000003,387.3537258000001,270.05374866,-1.03183238,-0.06933806,-0.004,2.4338627999999995,1.5731931799999996,0.95136018,7.0,1.3925604200000004,-11.0,101.2,41.43,0.0,58.39734049999997,43.16325171999998,38.08522145999998,134.56778341999993,224.43817252,35,G3 X3.6096 Y0.2475 R0.0742
16:01:29.399,5,41,3.6096,0.5443,0.0,135.78939,27.39101,-42.2,,1016.0,0,0,,2,3,"{""sr"":{""mpox"":135.78939,""mpoy"":27.39101,""mpoz"":-42.2,""mpoa"":0,""posx"":3.6096,""posy"":0.5443,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":3,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":41,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":0,""hold"":0,""macs"":5,""cycs"":1,""sps"":0,""feed"":1016,""mark"":2134550910}}",5.089655330828081,0.1950298740295085,0.1931723002194653,0.2008861486887989,5.089655330828081,0.1950298740295085,0.1931723002194653,0.2008861486887989,-1.0059993,-0.0741018,0.025002,5.2430726000000005,1.8859,2.123828,-1.9013008,17.0,-97.1013008,101.3,31.8599892,0.0,52.1512282,45.8571147,40.46216,130.37807089999998,313.4751339,-1.0070369,0.1239262,-0.0124294,2.786316,1.5847503,3.9647503,-3.1388168000000003,11.770562,17.6558431,101.2,32.871106399999995,0.0,8.6317452,6.2776328,5.885281,19.225251,327.4622294,-0.9998048,-0.027,0.0140587,-4.5098374,-7.3179849,1.0140889000000002,-0.6268231,27.5681134,68.3731769,101.2,32.5817822,0.0,11.3622762,9.0898208,9.6579351,26.701349,291.5377062,-1.0042979,-0.0113582,-0.0029397,0.5989698999999999,1.6371889,4.7218412,9.0602736,-12.3580596,20.5816668,101.3,32.34,107.0266577,291.996642,285.5983094,305.9566407,595.0449497999999,316.8440249,-0.9900651,0.04,-0.0074414,-1.492035,-0.8923679,1.0149982,-31.0,40.0,-53.0,101.3,33.220651499999995,86.5462979,108.6656017,105.5837751,110.4858792,324.3581705,284.45803010000003,-1.0301977,-0.0698316,-0.0038316,2.1625044,1.2159756,0.9054874,6.908064,1.0,-12.7554141,101.2,41.4390806,0.0,76.52001200000001,56.5582699,49.9043556,176.3287242,280.4696892,41,G3 X3.6096 Y0.5443 R0.0742
16:01:29.662,5,42,3.5354,0.6185,0.0,133.90472,29.27569,-42.2,,1016.0,0,0,,2,3,"{""sr"":{""mpox"":133.90472,""mpoy"":29.27569,""mpoz"":-42.2,""mpoa"":0,""posx"":3.5354,""posy"":0.6185,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":3,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":42,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":1016,""mark"":2134550910}}",5.122941985545739,0.1936232431078075,0.2042136800390043,0.205585013416789,5.122941985545739,0.1936232431078075,0.2042136800390043,0.205585013416789,-1.006,-0.07532104,0.02564124,5.33934096,1.97487872,2.17743936,-2.0,17.83966692,-98.0,101.3,31.86160336,0.0,9.29930724000002,8.176977000000019,7.214979680000017,23.24826768000005,319.5320378,-1.00820684,0.12210144,-0.01151116,2.8423898800000003,1.59318608,3.90438524,-8.0,30.5902352,45.0,101.2,32.88101408,0.0,12.394942319999998,9.443765159999998,8.853529799999999,28.92153136,305.72239204,-1.00037756,-0.02793616,0.01349476,-4.60643808,-7.17980404,1.17851836,0.0,15.589148199999997,38.57349659999999,101.2,32.58063872,0.0,8.819276480000001,7.055420880000001,7.496385160000001,20.72529988,370.75138536,-1.004,-0.01143056,-0.00206208,0.6156148400000001,1.80298008,4.72714972,9.4308192,-12.0,20.0,101.3,32.33569156,94.78025320000002,216.27130404,211.5322918,226.61096760000004,440.72817512000006,369.38718684,-0.99060004,0.03905488,-0.008,-1.58365552,-0.88777472,0.96819472,-30.05482816,40.0,-53.1443426,101.3,33.22945168,21.201278719999998,172.68061087999996,167.88392683999996,175.73336635999996,515.69831828,333.0161268,-1.03471908,-0.07054056,-0.00378308,2.31509696,1.47096656,1.03072924,7.0,0.98720336,-11.21700316,101.2,41.43,0.0,19.964324920000028,14.75624036000002,13.020211560000018,46.00474820000007,291.94297756,42,X3.5354 Y0.6185 R0.0742
16:01:30.170,5,42,3.5354,0.6185,0.0,133.90472,29.27569,-42.2,,1016.0,0,0,,2,3,"{""sr"":{""mpox"":133.90472,""mpoy"":29.27569,""mpoz"":-42.2,""mpoa"":0,""posx"":3.5354,""posy"":0.6185,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":3,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":42,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":1016,""mark"":2134550910}}",5.2742424533879815,0.2002975349177315,0.200679767547575,0.1962980420310044,5.2742424533879815,0.2002975349177315,0.200679767547575,0.1962980420310044,-1.00564276,-0.0753606399999999,0.02536128,5.41172444,1.74590396,2.0334542,-2.0,17.0,-98.67775676,101.3,31.8599952,0.0,18.6224564,16.69433508,14.44845732,46.556140840000005,335.969699,-1.0058496,0.12305056,-0.01205056,2.84462112,1.71510644,3.9334354,-7.80017312,30.0,44.749689960000005,101.2,32.88499384,0.0,11.54712892,8.7978128,8.24794936,26.9433008,264.27638868,-1.0,-0.0270694,0.0134692399999999,-4.528664679999999,-6.96762044,1.12713908,0.0,27.40029016,67.86978656,101.2,32.58199436,0.0,9.38993128,7.51194536,7.98144176,22.06633868,275.648405,-1.00440868,-0.0111244799999999,-0.00175136,0.5338307200000001,1.68809196,4.67150732,9.87566176,-12.0,20.46709192,101.3,32.33,100.89186888,234.48017732,229.34216556,245.69038468,477.8351014,288.09916128,-0.99056208,0.0395496,-0.008,-1.47102352,-0.90907456,0.95030184,-31.0,40.0,-52.88830144,101.3,33.23,18.76536928,157.67074324,153.38743816000002,160.96699564,472.4628536,238.84297256,-1.03020584,-0.07027772,-0.004,2.04536768,1.1029654,1.01016416,7.0,1.0,-11.3747604,101.2,41.43,0.0,31.99020816,23.64493676,20.863179520000003,73.71656752,243.73111072,42,X3.5354 Y0.6185 R0.0742
16:01:30.685,5,42,3.5354,0.6185,0.0,133.90472,29.27569,-42.2,,1016.0,0,0,,2,3,"{""sr"":{""mpox"":133.90472,""mpoy"":29.27569,""mpoz"":-42.2,""mpoa"":0,""posx"":3.5354,""posy"":0.6185,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":3,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":42,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":1016,""mark"":2134550910}}",5.098841759882894,0.1948679355724508,0.1993364696634414,0.1929463279487644,5.098841759882894,0.1948679355724508,0.1993364696634414,0.1929463279487644,-1.005,-0.076,0.0272382799999999,5.2663974200000006,2.016863020000001,2.0081646200000005,-2.0,16.61913322,-96.38086678,101.3,31.85619116,0.0,35.90971763999987,32.194919079999885,27.8609876799999,89.77429371999968,277.61913322,-1.0076813,0.12353254,-0.0123930799999999,2.8410687,1.65650782,3.84655178,-8.0,30.0,44.86052822,101.2,32.89064932,0.0,10.286017340000011,7.48074026000001,7.013194080000009,22.909766580000028,331.4475181,-1.00022344,-0.02795504,0.0137765599999999,-4.53798058,-6.91248512,1.18912598,-0.5225233599999997,27.52252336,68.0,101.2,32.57969802,0.0,10.450466619999991,8.360373419999995,8.882896159999994,24.558596279999986,383.396264,-1.00375386,-0.011,-0.00170518,0.4449768399999999,1.7229973,4.81095074,9.75363184,-13.0,19.24636816,101.3,32.32,107.4538085999999,263.13078999999976,257.36497597999977,275.71074835999974,536.2207142999996,312.5289255000002,-0.99046186,0.03953814,-0.0080758999999999,-1.4903104400000002,-0.8240377599999998,0.9982053000000002,-30.0,39.78372416,-52.461867940000005,101.3,33.20754406,11.24634553999996,132.5560814800002,128.8611377200002,135.32728836000018,397.20637550000055,286.4501704200001,-1.03223916,-0.07034922,-0.00440192,2.54817054,1.5469625999999974,0.9159398599999996,6.6507134999999975,1.0,-12.0,101.2,41.43,0.0,55.02626689999984,40.67158805999988,35.88669585999989,126.7996583799996,250.6978795400001,42,X3.5354 Y0.6185 R0.0742
16:01:31.199,5,42,3.5354,0.6185,0.0,133.90472,29.27569,-42.2,,1016.0,0,0,,2,3,"{""sr"":{""mpox"":133.90472,""mpoy"":29.27569,""mpoz"":-42.2,""mpoa"":0,""posx"":3.5354,""posy"":0.6185,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":3,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":42,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":1016,""mark"":2134550910}}",5.158602620539963,0.1959394209467208,0.1988823759725625,0.1901203429928291,5.158602620539963,0.1959394209467208,0.1988823759725625,0.1901203429928291,-1.0059,-0.0758983,0.0270978999999999,5.108975000000001,1.806885199999999,2.014,-2.0,16.1018135,-97.0020332,101.3,31.868964,0.0,52.10119100000016,45.813116600000136,40.42333760000012,130.25297810000038,246.96364800000003,-1.0076047,0.1226047,-0.012,2.8057536,1.6766260999999998,4.0235073,-8.0,30.0,45.5307242,101.2,32.8935881,0.0,8.703730499999985,6.329985699999988,5.934361199999989,19.385580599999965,257.0113429,-1.0005722,-0.0274866,0.0139412,-4.668366400000001,-7.0969911,1.2298475000000002,-0.3686823000000011,27.5725207,67.5725207,101.2,32.5763136,0.0,11.45040550000001,9.160324400000007,9.732845100000008,26.908453400000024,302.2253731999999,-1.004585,-0.0119396,-0.0021207999999999,0.4953670999999998,1.744703,4.59593,9.0,-13.0,20.0,101.3,32.3164567,115.88752670000012,293.8158502000003,287.37765410000026,307.8628226000003,598.7522200000005,294.7157781999999,-0.9903141,0.0396933,-0.007249,-1.5718115999999998,-0.8734733,1.03358,-30.3140892,39.3140892,-53.555721600000005,101.3,33.203141,0.0,109.20504139999976,106.17156829999978,111.10096209999976,326.0983879999993,265.5929441999999,-1.0312514,-0.0700916,-0.0023281999999999,2.277523300000001,1.5427644,1.1467412,7.091649499999997,0.9275481999999998,-11.908350500000005,101.2,41.431641,0.0,76.90269370000021,56.84112180000015,50.153931100000136,176.37465640000045,211.9725441999999,42,X3.5354 Y0.6185 R0.0742
16:01:31.714,5,42,3.5354,0.6185,0.0,133.90472,29.27569,-42.2,,1016.0,0,0,,2,3,"{""sr"":{""mpox"":133.90472,""mpoy"":29.27569,""mpoz"":-42.2,""mpoa"":0,""posx"":3.5354,""posy"":0.6185,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":3,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":42,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":1016,""mark"":2134550910}}",5.304896336605997,0.1840923712176162,0.1973929489969976,0.2000423351430063,5.304896336605997,0.1840923712176162,0.1973929489969976,0.2000423351430063,-1.0058152,-0.0748104,0.0252039999999999,5.239815800000001,1.7228756000000007,2.087449,-2.8007848000000037,16.9951344,-97.9902688,101.3,31.8580566,0.0,46.4455190000002,41.64081000000018,36.03531620000015,116.11379620000052,290.28306399999974,-1.0061264,0.1231664,-0.0125808,2.869,1.7034606000000003,3.9214182,-7.419025999999999,30.0,45.4545962,101.2,32.8783374,0.0,9.21857359999998,6.704417199999985,6.285391199999986,20.532277399999955,282.6361671999998,-1.0004816,-0.0270788,0.014,-4.394279599999999,-6.9924078000000005,1.1820186,0.0,15.605220000000022,37.45094440000005,101.2,32.580375200000006,0.0,11.202935400000014,8.962348400000012,9.522495400000013,26.326899400000038,310.8341357999999,-1.004,-0.0113562,-0.0020769999999999,0.3958440000000001,1.7341410000000002,4.6376872,9.0,-13.0,19.51076,101.3,32.315108,113.9141616000002,284.3024246000004,278.0726900000004,297.81747260000043,579.3652990000008,282.84305779999977,-0.9905248,0.039,-0.008407,-1.4246778,-0.8762973999999997,1.1373419999999996,-30.931838000000003,39.4753016,-51.524698400000005,101.3,33.2006816,0.0,117.25612579999968,113.99901099999968,119.29182239999967,350.13981959999904,300.7504654000001,-1.0288412,-0.0682904,-0.003988,2.4388108,1.535381800000002,1.0997298,6.745604400000003,1.0,-11.254395599999995,101.2,41.4473368,0.0,68.59557960000028,50.70108080000021,44.73624760000018,157.32247120000062,262.6019222000003,42,X3.5354 Y0.6185 R0.0742
16:01:32.229,5,42,3.5354,0.6185,0.0,133.90472,29.27569,-42.2,,1016.0,0,0,,2,3,"{""sr"":{""mpox"":133.90472,""mpoy"":29.27569,""mpoz"":-42.2,""mpoa"":0,""posx"":3.5354,""posy"":0.6185,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":3,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":42,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":1016,""mark"":2134550910}}",5.300750207955529,0.2027785109205416,0.2132156742013145,0.2134283659442234,5.300750207955529,0.2027785109205416,0.2132156742013145,0.2134283659442234,-1.0054995,-0.075999,0.0259975,5.218707500000001,1.7699445,1.9836505,-2.0,17.0,-97.4999035,101.3,31.85501,0.0,28.9736285,25.976357000000004,22.4795395,72.4340715,420.0875475,-1.0071845,0.1231325,-0.0121845,2.708685,1.7058135,3.905659,-8.0,30.0,44.3690925,101.2,32.889972,0.0,10.846159,8.022331,7.5209355,24.5683885,284.5178315,-1.0002035,-0.02749,0.013707,-4.7603605,-7.0501195,1.1475894999999998,-1.0,27.503385,67.503385,101.2,32.565863500000006,0.0,9.9323005,7.9458405,8.442455,23.3409055,258.20977750000003,-1.0044985,-0.0108025,-0.002,0.4759454999999999,1.721584,4.7363615,9.501621,-13.0,19.501621,101.3,32.32,106.7910595,249.9888375,244.4035165,261.649179,509.8421155,292.2310715,-0.9913305,0.0398219999999999,-0.0069945,-1.5166715,-0.9348285,1.0885,-30.325056,40.0,-52.1721275,101.3,33.194972,0.0,144.811137,140.2857885,146.82240249999998,431.919329,332.3107175,-1.034259,-0.07,-0.0044595,2.556875,1.526,1.108514,7.0,1.0,-11.501391000000002,101.2,41.434596,0.0,45.872019,33.9054055,29.916534,105.206478,294.4373165,42,X3.5354 Y0.6185 R0.0742
16:01:32.763,5,16,0.05086,3.11321,1.66142,45.3973,92.64128,0.0,,0.0,0,0,,2,0,"{""sr"":{""mpox"":45.3973,""mpoy"":92.64128,""mpoz"":0,""mpoa"":0,""posx"":0.05086,""posy"":3.11321,""posz"":1.66142,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":0,""dist"":0,""home"":1,""mots"":1,""plan"":0,""line"":16,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":0,""mark"":2134550910}}",5.235821524247484,0.2060354637241313,0.2087529865029977,0.2137334139575759,5.235821524247484,0.2060354637241313,0.2087529865029977,0.2137334139575759,-1.0061773,-0.0753546,0.0265302599999999,4.844079279999999,1.9629274,1.96415084,-2.0,17.0,-96.17915176,101.3,31.86,0.0,10.390798039999828,9.315887939999849,8.061826259999867,25.97699573999957,241.49321601999983,-1.00752892,0.1232829,-0.0122829,2.8678427,1.77916638,3.83922946,-8.0,30.0,45.41537408,101.2,32.88603602,0.0,12.86176840000002,9.354013340000012,8.769388060000013,28.64666658000004,275.4300642,-1.00007344,-0.02804186,0.01364032,-4.52791532,-6.84438094,1.25052574,-0.0734923799999987,28.0,67.51597532000001,101.2,32.57926506,0.0,8.84965631999999,7.079725019999992,7.52220813999999,20.79669293999997,268.10256848,-1.004,-0.0105674,-0.0018651999999999,0.4877234600000002,1.6173621400000002,4.7567529,9.0,-13.0,20.0,101.3,32.3049774,89.12377319999986,216.75247805999965,212.42608045999967,227.56846973999964,442.5903881399993,237.18549879999995,-0.9905982,0.0395982,-0.0078027799999999,-1.5373230799999995,-0.8257294800000001,1.0373154599999996,-29.46344858,40.0,-53.0,101.3,33.2,145.64485048000023,171.74844732000025,167.49758584000028,175.33900656000029,514.6469139000008,275.2672681200002,-1.0326951,-0.07029632,-0.00375194,2.502489760000001,1.619883900000001,1.03882422,7.0,1.0,-11.247991939999997,101.2,41.43,0.0,21.57208605999977,15.944585319999828,14.303231139999845,49.47511059999946,167.72285633999974,16,G0 X3.5725 Y0.0249
