t_console,stat,line,posx,posy,posz,mpox,mpoy,mpoz,vel,feed,unit,dist,plane,coor,momo,raw_json,spindle,x_motor,y_motor,z_motor,spindle_A,x_motor_A,y_motor_A,z_motor_A,frame_l2.Ax,frame_l2.Ay,frame_l2.Az,frame_l2.Gx,frame_l2.Gy,frame_l2.Gz,frame_l2.Mx,frame_l2.My,frame_l2.Mz,frame_l2.Pressure,frame_l2.Temperature,frame_l2.Proximity,frame_l2.ColorR,frame_l2.ColorG,frame_l2.ColorB,frame_l2.ColorA,frame_l2.RMS,frame_l3.Ax,frame_l3.Ay,frame_l3.Az,frame_l3.Gx,frame_l3.Gy,frame_l3.Gz,frame_l3.Mx,frame_l3.My,frame_l3.Mz,frame_l3.Pressure,frame_l3.Temperature,frame_l3.Proximity,frame_l3.ColorR,frame_l3.ColorG,frame_l3.ColorB,frame_l3.ColorA,frame_l3.RMS,frame_r2.Ax,frame_r2.Ay,frame_r2.Az,frame_r2.Gx,frame_r2.Gy,frame_r2.Gz,frame_r2.Mx,frame_r2.My,frame_r2.Mz,frame_r2.Pressure,frame_r2.Temperature,frame_r2.Proximity,frame_r2.ColorR,frame_r2.ColorG,frame_r2.ColorB,frame_r2.ColorA,frame_r2.RMS,y_bed__4.Ax,y_bed__4.Ay,y_bed__4.Az,y_bed__4.Gx,y_bed__4.Gy,y_bed__4.Gz,y_bed__4.Mx,y_bed__4.My,y_bed__4.Mz,y_bed__4.Pressure,y_bed__4.Temperature,y_bed__4.Proximity,y_bed__4.ColorR,y_bed__4.ColorG,y_bed__4.ColorB,y_bed__4.ColorA,y_bed__4.RMS,y_bed__3.Ax,y_bed__3.Ay,y_bed__3.Az,y_bed__3.Gx,y_bed__3.Gy,y_bed__3.Gz,y_bed__3.Mx,y_bed__3.My,y_bed__3.Mz,y_bed__3.Pressure,y_bed__3.Temperature,y_bed__3.Proximity,y_bed__3.ColorR,y_bed__3.ColorG,y_bed__3.ColorB,y_bed__3.ColorA,y_bed__3.RMS,spindle2.Ax,spindle2.Ay,spindle2.Az,spindle2.Gx,spindle2.Gy,spindle2.Gz,spindle2.Mx,spindle2.My,spindle2.Mz,spindle2.Pressure,spindle2.Temperature,spindle2.Proximity,spindle2.ColorR,spindle2.ColorG,spindle2.ColorB,spindle2.ColorA,spindle2.RMS,gcode_line,gcode_string
19:40:15.253,3,15,1.6792,1.7094,1.01181,86.75724,56.98455,0.0,,0.0,0,0,,2,0,"{""sr"":{""mpox"":86.75724,""mpoy"":56.98455,""mpoz"":0,""mpoa"":0,""posx"":1.6792,""posy"":1.7094,""posz"":1.01181,""posa"":0,""unit"":0,""stat"":3,""coor"":2,""momo"":0,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":15,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":0,""hold"":0,""macs"":3,""cycs"":0,""sps"":0,""feed"":0,""mark"":1697016393}}",5.246705321333138,0.2026899762859102,0.2076729502005037,0.2154588469420559,5.246705321333138,0.2026899762859102,0.2076729502005037,0.2154588469420559,-0.991,0.04,-0.011,-1.404,-0.854,1.038,-31.0,36.0,-38.0,101.5,30.84,165.0,160.0,130.0,145.0,448.0,221.0,-1.004,-0.011,0.0,0.854,2.258,4.639,11.0,-15.0,25.0,101.5,30.75,31.0,248.0,225.0,235.0,579.0,218.0,-1.004,-0.078,0.031,4.578,1.709,1.892,-3.0,16.0,-97.0,101.5,30.0,0.0,0.0,0.0,0.0,0.0,254.0,-1.006,0.118,-0.021,2.869,1.587,3.662,-7.0,34.0,38.0,101.4,30.39,212.0,10.0,9.0,9.0,26.0,234.0,-0.998,-0.031,0.01,-5.432,-9.277,-0.061,-13.0,39.0,66.0,101.5,30.14,0.0,0.0,0.0,0.0,0.0,269.0,-1.029,-0.064,-0.001,2.136,1.526,1.343,9.0,6.0,11.0,101.4,36.16,0.0,0.0,0.0,0.0,0.0,236.0,15,G55
19:40:15.511,5,35,0.0,3.481,0.0,44.10556,101.98319,-25.7,,1016.0,0,0,,2,2,"{""sr"":{""mpox"":44.10556,""mpoy"":101.98319,""mpoz"":-25.7,""mpoa"":0,""posx"":0,""posy"":3.481,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":2,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":35,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":0,""hold"":0,""macs"":5,""cycs"":1,""sps"":0,""feed"":1016,""mark"":1697016393}}",5.159486707241017,0.1991611241793717,0.1956711510840433,0.2039745987757685,5.159486707241017,0.1991611241793717,0.1956711510840433,0.2039745987757685,-0.99016084,0.0399992,-0.00747992,-1.33074368,-0.7319464,1.07960956,-30.99912144,35.00087856,-38.15893672000001,101.5,30.85,27.32842408000003,25.73027096000003,20.775994800000024,23.33304060000003,71.75709004000007,187.10508228000003,-1.00324124,-0.01004452,0.0018656,0.78376448,2.386503,4.9173324,11.0,-16.0,25.0,101.5,30.75848592,4.828366400000001,48.65506516000004,44.14270012000004,46.10459760000004,113.59388140000009,262.780457,-1.0052808,-0.078,0.02853428,4.43646652,1.51092364,1.86869332,-2.0,17.0,-96.10092288,101.5,30.0159012,104.45034592,50.15977056,54.29057552,30.68597768,108.58115088,251.29520008000003,-1.009591,0.11893696,-0.01949096,2.59848872,1.62191664,3.74251648,-7.0,34.0,37.0,101.4,30.38,120.39436956,5.72404904,5.151644,5.151644,14.88252696,238.96206228,-0.99801976,-0.02963612,0.011146,-5.851872800000001,-9.16032184,0.1154887599999999,-12.57287128,39.0,66.50975064000001,101.5,30.14,0.0,5.1255468,3.84415964,4.271288360000001,11.53247892,291.54607348,-1.02989264,-0.06722372,0.0005585999999999,2.05424432,1.55022388,1.3601217200000002,9.0,6.0,11.55821528,101.4,36.164955160000005,57.04848724000001,32.21105120000001,25.613607000000005,20.18041732,67.91486644000001,210.576406,35,G2 X0. Y3.481 R0.071
19:40:15.823,5,42,1.4887,0.0732,0.0,81.91854,15.42507,-25.7,,1016.0,0,0,,2,3,"{""sr"":{""mpox"":81.91854,""mpoy"":15.42507,""mpoz"":-25.7,""mpoa"":0,""posx"":1.4887,""posy"":0.0732,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":3,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":42,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":0,""hold"":0,""macs"":5,""cycs"":1,""sps"":0,""feed"":1016,""mark"":1697016393}}",5.139914699204156,0.1947277723546868,0.2009164734063192,0.188738579059505,5.139914699204156,0.1947277723546868,0.2009164734063192,0.188738579059505,-0.9913914,0.0402088,-0.0113991999999999,-1.3671611999999995,-0.7810451999999999,1.1238810000000004,-31.0,35.6032916,-37.0026388,101.5,30.85,58.7120009999998,64.2949493999998,51.91517639999983,58.30473619999981,179.30703199999942,222.3884296,-1.0036988,-0.0101827999999999,0.0024064,0.8440634,2.4198876000000005,4.6652664,11.3763008,-16.0,25.5693998,101.5,30.7462368,31.721648999999896,106.78875439999972,96.88495879999974,101.19095659999974,249.3172935999993,215.4012282,-1.0039492,-0.0768952,0.0252238,4.507647400000001,1.5646181999999995,1.742691,-2.0,16.7761574,-96.525389,101.5,30.0274924,89.84157800000006,44.65809460000003,48.33582040000003,27.32024600000001,96.67163980000008,240.4598716,-1.0084042,0.118247,-0.0192734,2.8523292,1.593565,3.784,-6.843007200000001,34.3633522,36.8836966,101.4,30.3936336,110.83342180000008,5.203446800000003,4.683102400000003,4.683102400000003,13.528962600000009,272.6482374,-0.9941564,-0.0297498,0.011,-5.6106018,-9.3837352,0.0069735999999999,-12.84345,39.0,65.7919876,101.5,30.141658,0.0,5.746649799999997,4.3099871999999975,4.788874799999997,12.929962199999991,306.2926218,-1.03166,-0.065742,-0.0006607999999999,2.2824118,1.3713977999999998,1.3424621999999995,9.0,6.0,11.401502,101.4,36.1586572,68.24143059999993,38.53087539999997,30.639009599999973,24.139825799999976,81.23979839999993,258.495604,42,G3 X1.4887 Y0.0732 R0.1172
19:40:16.088,5,47,3.324,3.3368,0.0,128.53515,98.32051,-25.7,,1016.0,0,0,,2,1,"{""sr"":{""mpox"":128.53515,""mpoy"":98.32051,""mpoz"":-25.7,""mpoa"":0,""posx"":3.324,""posy"":3.3368,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":1,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":47,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":1016,""mark"":1697016393}}",5.37815247607916,0.2006813940766859,0.202011359078271,0.2006832132682942,5.37815247607916,0.2006813940766859,0.202011359078271,0.2006832132682942,-0.9903061,0.0393986,-0.0106875999999999,-1.42224,-0.7878378000000001,0.9772037,-30.7009843,35.7009843,-38.2956732,101.5,30.8469763,45.96507050000009,48.67960660000009,39.30985640000008,44.144239700000085,135.45963850000027,244.4163504,-1.0033371,-0.0099964,-0.0003056,0.7348896,2.1754692,4.8004692,11.0,-16.0,25.3411809,101.5,30.75,29.904809200000056,79.74615710000013,72.35034440000013,75.56591500000015,186.18155350000032,234.9218252,-1.0045575999999998,-0.078,0.0265521999999999,4.4690379,1.718204,1.8789621,-2.0,17.0,-97.3324005,101.5,30.0244219,79.04226059999998,46.91790339999999,50.78173119999998,28.702717599999996,101.56346209999997,213.5704465,-1.0064566,0.1185434,-0.0203544,2.8243463,1.6704473999999998,3.755761,-7.0,34.0,37.7247166,101.4,30.3855055,115.71401929999996,5.432582699999999,4.889324699999999,4.889324699999999,14.124716099999995,276.24227749999994,-0.9962758,-0.0293716,0.0103716,-5.6323864,-9.2486435,-0.0278968,-13.0,39.0,66.5426786,101.5,30.1418141,0.0,5.487855800000002,4.1158917000000015,4.573212700000002,12.347674700000004,296.3126799,-1.0279972,-0.0659643,0.0006012999999999,2.1605053,1.3488102,1.294165,9.1994241,6.0,10.8005759,101.4,36.156696,63.54858510000003,36.066079000000016,28.67905060000001,22.59561550000001,76.04293820000004,276.4815345,47,G1 X3.324
19:40:16.600,5,47,3.324,3.3368,0.0,128.53515,98.32051,-25.7,,1016.0,0,0,,2,1,"{""sr"":{""mpox"":128.53515,""mpoy"":98.32051,""mpoz"":-25.7,""mpoa"":0,""posx"":3.324,""posy"":3.3368,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":1,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":47,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":1016,""mark"":1697016393}}",5.049798874347512,0.2019712215258257,0.2060734478785861,0.2049784601281402,5.049798874347512,0.2019712215258257,0.2060734478785861,0.2049784601281402,-0.99012046,0.03824098,-0.01000094,-1.2322794600000004,-0.7248441399999997,1.0915715399999997,-30.00111954,35.99888046,-37.99888046,101.5,30.84998872,9.854357980000367,9.80354548000038,7.915906200000296,8.890171900000318,27.279432320000957,249.99686130000012,-1.00410794,-0.0116791199999999,0.0008920599999999,0.9441269999999994,2.25105532,4.75459016,11.0,-16.0,25.00292254,101.5,30.75002922,9.562886500000186,26.061491580000517,23.64449870000045,24.69536508000048,60.84517638000123,229.89130104000049,-1.00423344,-0.0768109,0.0282297399999999,4.54281916,1.71675536,1.892,-2.3831022600000007,16.405264820000003,-96.61689774,101.5,30.02977836,93.21806281999991,52.436316919999946,56.75460191999995,32.078688279999966,113.50920477999988,299.492947,-1.00973696,0.11695506,-0.02003636,2.8939381,1.6408377800000002,3.70522412,-7.0,34.03635034,38.18235496,101.4,30.37781298,124.7384959599999,5.911776739999995,5.320599259999996,5.320599259999996,15.370620299999988,250.41029648000003,-0.99662964,-0.0316321799999999,0.01118692,-5.64924456,-9.2794662,-0.0587926599999999,-5.247468460000005,15.850963500000018,26.897079680000036,101.5,30.13963814,0.0,4.506970300000006,3.657915020000004,4.064349160000004,10.973744120000012,231.85532412000012,-1.03128852,-0.0678530399999999,-0.0009475199999999,2.23463192,1.21856688,1.221,9.0,5.0,11.35574126,101.4,36.17960112,51.898316140000105,29.52651322000006,23.12317260000005,18.49853828000004,62.25469666000012,198.49320296000013,47,G1 X3.324
19:40:17.115,5,47,3.324,3.3368,0.0,128.53515,98.32051,-25.7,,1016.0,0,0,,2,1,"{""sr"":{""mpox"":128.53515,""mpoy"":98.32051,""mpoz"":-25.7,""mpoa"":0,""posx"":3.324,""posy"":3.3368,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":1,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":47,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":1016,""mark"":1697016393}}",5.281072794895031,0.2014118180758801,0.1826642254201175,0.1956369069219823,5.281072794895031,0.2014118180758801,0.1826642254201175,0.1956369069219823,-0.99099952,0.0405179199999999,-0.00772456,-1.2798468800000002,-0.8226978400000001,0.9936731199999996,-30.0,35.99946096,-37.24090724,101.5,30.84241444,40.472439120000175,38.786087640000176,31.31795896000014,35.17247692000016,107.92650476000048,353.6188804799998,-1.00481324,-0.00949436,0.0012383199999999,0.8831218,2.0702807200000004,4.77239584,10.55733496,-15.12906476,24.22100336,101.5,30.7304028,17.50091500000007,66.29083304000024,60.14289240000021,62.81591056000022,154.76771040000054,337.87180555999976,-1.00415168,-0.07825448,0.02741904,4.2817342,1.60401792,1.76153332,-0.8612008800000006,7.320209920000005,-42.04723140000003,101.5,30.01278996,84.84051551999995,48.96835083999998,52.384747679999975,29.608770679999985,104.76949511999996,293.7873651599999,-1.0063964,0.1193832,-0.0194613199999999,2.81378088,1.64904064,3.72878088,-7.0,34.0,37.0,101.4,30.3992226,117.21604683999996,5.559152799999998,5.003237439999998,5.003237439999998,14.453797479999992,335.9356006,-0.99607888,-0.0290948,0.01153944,-5.65572536,-9.36024764,-0.0502492800000001,-12.53939364,38.53939364,65.65018524,101.5,30.136502120000003,0.0,5.335248400000003,4.001436040000002,4.446040000000003,12.004308640000003,359.06852368,-1.02930796,-0.06742628,-0.00057372,1.9628352,1.0683782,1.3169818,9.0,5.50714952,11.50714952,101.4,36.17,60.59826232000005,34.21534508000003,27.207382800000023,21.43612012000002,72.14078844000007,326.39360295999995,47,G1 X3.324
19:40:17.630,5,47,3.324,3.3368,0.0,128.53515,98.32051,-25.7,,1016.0,0,0,,2,1,"{""sr"":{""mpox"":128.53515,""mpoy"":98.32051,""mpoz"":-25.7,""mpoa"":0,""posx"":3.324,""posy"":3.3368,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":1,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":47,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":1016,""mark"":1697016393}}",5.394655676682421,0.2016520334016479,0.2020785312365332,0.2022868618747533,5.394655676682421,0.2016520334016479,0.2020785312365332,0.2022868618747533,-0.99100092,0.0394577,-0.00946254,-1.3431311,-0.7551548400000008,1.1315714,-30.0,35.9985906,-38.54,101.5,30.85,81.49185551999936,86.88637233999933,70.15777471999945,78.79136909999937,241.77185139999813,325.91601591999995,-1.00402484,-0.0105383799999999,0.00097346,0.8481809000000009,2.1654892800000014,4.6984797,11.0,-16.0,25.538200919999998,101.5,30.73,37.88348599999974,133.47393049999906,121.09529941999914,126.47731307999908,311.6185714199977,331.00005270000025,-1.00485092,-0.07766282,0.0263260999999999,4.454901779999999,1.5544679600000004,1.85181322,-1.5097114999999988,17.0,-96.83148912,101.5,30.00850896,73.54331996000018,42.1648369000001,45.1065693600001,25.49501714000006,90.2131387200002,301.37183795999994,-1.00729548,0.11872262,-0.0192133,2.87813136,1.56781172,3.65697158,-7.0,34.0,37.21345228,101.4,30.39573076,103.8065440600002,4.906603540000009,4.415943300000008,4.415943300000008,12.757169280000022,335.80060036,-0.99450856,-0.02903314,0.01105034,-5.955696999999999,-8.89653638,0.0449988999999997,-12.720613019999998,39.0,66.44122558,101.5,30.15017068,0.0,6.102485139999989,4.576863739999992,5.085404719999991,13.730591759999976,369.1034583,-1.03045568,-0.0660973,-0.001,2.3079354,1.4605122400000004,1.2174975800000003,9.0,5.0,10.0,101.4,36.19,75.4486494599998,42.60025779999988,33.36164775999991,26.689318299999925,89.81982057999976,313.6617764799998,47,G1 X3.324
19:40:18.146,5,47,3.324,3.3368,0.0,128.53515,98.32051,-25.7,,1016.0,0,0,,2,1,"{""sr"":{""mpox"":128.53515,""mpoy"":98.32051,""mpoz"":-25.7,""mpoa"":0,""posx"":3.324,""posy"":3.3368,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":1,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":47,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":1016,""mark"":1697016393}}",5.094409691925309,0.1892095352066779,0.2021409011322654,0.2048361808907952,5.094409691925309,0.1892095352066779,0.2021409011322654,0.2048361808907952,-0.99099828,0.0381423,-0.01113714,-1.4832822399999992,-0.7845565799999998,0.9418309200000003,-29.141150360000005,35.00136568,-38.141150360000005,101.5,30.8413979,146.00449517999954,138.27484539999955,111.65049605999964,125.39209633999955,385.6236372199988,215.68920811999988,-1.00418472,-0.01034608,-0.0006054799999999,0.8927395999999996,2.368708,4.670908140000001,11.0,-16.0,25.01612296,101.5,30.72991936,50.72471193999984,204.09194523999935,185.16406285999943,193.39357655999945,476.4888556199985,268.29017229999994,-1.0028590000000002,-0.077141,0.02345476,4.53642604,1.5714230000000002,1.74850724,-2.9486768399999987,17.0,-97.05132316,101.5,30.00455018,52.0717305200001,34.714487300000066,37.13642786000007,20.99015492000004,74.27285572000014,222.32295426,-1.00710394,0.1184445,-0.01840544,2.78328068,1.648,3.71782266,-7.0,33.66018132,37.23548808,101.4,30.39084882,89.27058486000013,4.246938560000006,3.8222444600000056,3.8222444600000056,11.042040280000016,274.12160586,-0.99657546,-0.03072738,0.0106793999999999,-5.62017342,-9.277,-0.0299417799999998,-12.33953144,39.0,66.08480976,101.5,30.14915188,0.0,6.907899739999992,5.180925199999995,5.756583139999995,15.542775739999984,285.35288568,-1.03015584,-0.06657792,-0.00113312,2.13270342,0.7712964400000016,1.27247484,9.0,5.0,10.617494399999998,101.4,36.20289046,89.53668327999986,51.25203239999992,40.75462861999994,32.10970731999995,108.06151467999985,228.0168140999999,47,G1 X3.324
19:40:18.660,5,47,3.324,3.3368,0.0,128.53515,98.32051,-25.7,,1016.0,0,0,,2,1,"{""sr"":{""mpox"":128.53515,""mpoy"":98.32051,""mpoz"":-25.7,""mpoa"":0,""posx"":3.324,""posy"":3.3368,""posz"":0,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":1,""dist"":0,""home"":1,""mots"":0,""plan"":0,""line"":47,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":1016,""mark"":1697016393}}",5.092472835067546,0.1826666886804402,0.1975519268507679,0.2052361530167072,5.092472835067546,0.1826666886804402,0.1975519268507679,0.2052361530167072,-0.99085868,0.03756876,-0.0082836,-1.4649615,-0.8898493599999997,1.1162876600000002,-29.0006307,35.9993693,-38.0006307,101.5,30.85,140.75147087999974,138.18603707999975,111.5794186199998,125.31156211999978,384.5182998399993,288.11157057999986,-1.00482426,-0.0121660199999999,0.0026485199999999,0.95274234,2.24995546,4.75029118,11.0,-16.0,25.175555860000003,101.5,30.758244320000003,33.80220069999994,204.46209361999965,185.4998834199997,193.7443222399997,477.3530330599992,271.65771561999986,-1.00459476,-0.07588838,0.02494994,4.5386856,1.5422491000000005,1.892,-2.0,17.0,-95.8109378,101.5,30.01088788,48.07321160000005,34.87032492000004,37.30313846000004,21.084382340000023,74.60627620000008,249.5640686600001,-1.00815356,0.11722064,-0.02,2.95527424,1.72117146,3.8959053,-7.0,34.42017684,37.9448379,101.4,30.3805516,88.65735642000007,4.201769980000004,3.781593280000003,3.781593280000003,10.92460286000001,266.28065102,-0.99353344,-0.0316856799999999,0.01042424,-5.603204600000001,-9.37376672,-0.0510143599999998,-6.229983680000013,18.26528700000004,32.053809440000066,101.5,30.13533842,0.0,6.904041859999996,5.1780316799999975,5.753368359999996,15.534094899999992,290.1445858,-1.02861158,-0.06719544,-0.0037674599999999,2.3890685,1.3085222599999995,1.23290602,8.42566792,5.425667920000001,10.0,101.4,36.18425692,90.69038115999992,51.53041607999996,40.35514549999996,32.28411619999997,108.6484683799999,245.68454486000005,47,G1 X3.324
19:40:19.200,5,16,1.69894,1.50815,1.01181,87.25859,51.87271,0.0,,0.0,0,0,,2,0,"{""sr"":{""mpox"":87.25859,""mpoy"":51.87271,""mpoz"":0,""mpoa"":0,""posx"":1.69894,""posy"":1.50815,""posz"":1.01181,""posa"":0,""unit"":0,""stat"":5,""coor"":2,""momo"":0,""dist"":0,""home"":1,""mots"":1,""plan"":0,""line"":16,""path"":2,""frmo"":2,""prbe"":1,""safe"":0,""estp"":0,""spc"":1,""hold"":0,""macs"":5,""cycs"":1,""sps"":12000,""feed"":0,""mark"":1697016393}}",5.359038181494392,0.2015630185084815,0.2179423033462767,0.2180843859619547,5.359038181494392,0.2015630185084815,0.2179423033462767,0.2180843859619547,-0.98912264,0.0408183599999999,-0.010117,-1.3503995600000005,-0.8005506800000003,1.0916906799999997,-30.0,35.94008736,-39.0,101.5,30.84937176,9.299290080000292,9.88365066000032,7.980587360000237,8.96281414000029,27.562245800000845,167.80675184000012,-1.00312126,-0.00901332,0.0023689799999999,0.67160894,2.26438042,4.74823916,11.0,-16.0,26.89540352,101.5,30.73209226,9.309126120000158,25.94003542000041,23.534306500000387,24.5802753000004,60.561615140001,189.32891452000015,-1.00582822,-0.07955092,0.02719386,4.578,1.46262634,1.81946396,-2.3833993000000007,16.6166007,-96.0440826,101.5,30.03,89.84730581999992,53.02762153999996,56.72722291999995,32.06321283999998,113.4544458399999,280.31620208,-1.0086643,0.11973696,-0.02006426,2.79023982,1.66132678,3.7252167,-7.0,34.0,37.59106514,101.4,30.38372616,123.53258911999993,5.910649819999996,5.319585559999997,5.319585559999997,15.367690599999989,311.0800315399999,-0.99711588,-0.02877586,0.0119210799999999,-5.782139900000001,-9.09412712,0.0474874200000003,-12.63051232,38.4064787,66.2610237,101.5,30.1396301,0.0,4.877750040000005,3.658312060000004,4.064791700000004,10.974937060000013,276.39017382000003,-1.0296033999999998,-0.0663845,-0.0006599599999999,2.25626738,0.8684072000000005,1.0745138000000003,8.684125220000002,5.0,10.35626276,101.4,36.203562260000005,52.41101706000009,29.569810640000053,23.513343960000043,18.525664620000036,62.34598688000012,227.48421612000007,16,G0 X1.8603 Y-0.1375
